Data Generated by Optosky
File Version;1.2
Name;s28_102_2601150947473 350mw 3000ms
Creator;admin
Description;
Created;1/15/2026 9:47:47 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;100
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;59347.4000;43096.2000;16251.2000;1111.3990
1;193.9154;59347.4000;43096.2000;16251.2000;1114.9910
2;196.7002;59347.4000;43096.2000;16251.2000;1118.7152
3;199.4839;59347.4000;43096.2000;16251.2000;1136.0729
4;202.2665;59347.4000;43096.2000;16251.2000;1140.0699
5;205.0479;59347.4000;43096.2000;16251.2000;1144.2074
6;207.8282;59347.4000;43096.2000;16251.2000;1148.4856
7;210.6073;59347.4000;43096.2000;16251.2000;1152.9074
8;213.3853;59347.4000;43096.2000;16251.2000;1157.4757
9;216.1622;57822.6000;42211.0000;15611.6000;522.5933
10;218.9380;55317.6000;39062.0000;16255.6000;1171.4631
11;221.7126;57049.6000;41001.0000;16048.6000;969.4881
12;224.4861;60145.8000;44171.8000;15974.0000;900.0713
13;227.2584;57100.2000;41533.4000;15566.8000;498.2157
14;230.0296;58204.2000;42372.4000;15831.8000;768.7243
15;232.7997;57470.2000;41780.0000;15690.2000;632.8002
16;235.5687;58445.4000;43029.0000;15416.4000;364.8465
17;238.3365;60367.8000;44856.4000;15511.4000;465.8662
18;241.1032;57504.0000;41944.4000;15559.6000;520.2626
19;243.8687;55522.0000;39327.4000;16194.6000;1161.6388
20;246.6331;56440.0000;40271.8000;16168.2000;1141.7980
21;249.3964;58773.8000;42531.0000;16242.8000;1223.1435
22;252.1586;57041.6000;41265.4000;15776.2000;763.4784
23;254.9196;58302.8000;42101.2000;16201.6000;1196.0061
24;257.6795;56944.8000;41099.0000;15845.8000;847.5299
25;260.4382;58381.4000;42674.6000;15706.8000;716.0425
26;263.1959;59555.4000;44509.2000;15046.2000;63.1579
27;265.9524;57853.6000;42607.0000;15246.6000;271.4794
28;268.7078;54005.8000;38005.2000;16000.6000;1033.6104
29;271.4620;56159.6000;39930.2000;16229.4000;1270.7542
30;274.2151;55728.8000;40277.6000;15451.2000;501.1144
31;276.9671;59698.6000;44164.0000;15534.6000;593.2944
32;279.7180;59887.0000;44643.8000;15243.2000;310.8976
33;282.4677;57270.0000;41420.2000;15849.8000;926.7275
34;285.2163;57251.4000;41110.2000;16141.2000;1227.5878
35;287.9638;57619.6000;41536.4000;16083.2000;1179.2821
36;290.7101;58418.0000;42493.2000;15924.8000;1030.8139
37;293.4553;59630.6000;43396.4000;16234.2000;1350.3867
38;296.1994;57510.6000;41349.4000;16161.2000;1287.8040
39;298.9424;60018.6000;43504.2000;16514.4000;1651.6696
40;301.6842;59705.6000;43519.8000;16185.8000;1333.9870
41;304.4249;55088.4000;38579.4000;16509.0000;1668.3598
42;307.1645;56962.8000;40626.4000;16336.4000;1507.1917
43;309.9030;58999.6000;43704.0000;15295.6000;477.8645
44;312.6403;61143.8000;47381.8000;13762.0000;0.0000
45;315.3766;56454.6000;39971.6000;16483.0000;1688.8861
46;318.1117;55956.4000;39336.2000;16620.2000;1838.2392
47;320.8456;58174.8000;41856.6000;16318.2000;1548.4417
48;323.5785;57412.4000;41231.4000;16181.0000;1423.6775
49;326.3102;55210.2000;38571.4000;16638.8000;1894.1486
50;329.0408;58355.4000;41481.2000;16874.2000;2142.4572
51;331.7703;56664.4000;40634.8000;16029.6000;1311.0054
52;334.4986;56048.2000;39592.0000;16456.2000;1750.9952
53;337.2259;54626.2000;38002.2000;16624.0000;1932.4286
54;339.9520;58170.0000;42019.0000;16151.0000;1473.3077
55;342.6770;60161.4000;44642.0000;15519.4000;855.8344
56;345.4009;55351.8000;38731.6000;16620.2000;1971.0105
57;348.1236;58644.0000;41624.4000;17019.6000;2385.0380
58;350.8452;57290.6000;41322.0000;15968.6000;1348.9187
59;353.5657;57614.2000;41466.0000;16148.2000;1543.6545
60;356.2851;57238.4000;41187.6000;16050.8000;1461.6470
61;359.0034;56680.0000;40553.2000;16126.8000;1553.2980
62;361.7206;56038.4000;39674.4000;16364.0000;1806.4091
63;364.4366;54880.0000;38458.2000;16421.8000;1880.3823
64;367.1515;59286.4000;43064.8000;16221.6000;1696.6190
65;369.8653;57382.6000;41532.0000;15850.6000;1342.3209
66;372.5780;56061.2000;39809.0000;16252.2000;1760.8893
