Data Generated by Optosky
File Version;1.2
Name;s30_128_2601151543142 350mw 3000ms
Creator;admin
Description;
Created;1/15/2026 3:43:14 PM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;100
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;22174.0000;7824.2000;14349.8000;271.7138
1;193.9154;22174.0000;7824.2000;14349.8000;275.5001
2;196.7002;22174.0000;7824.2000;14349.8000;279.4452
3;199.4839;22174.0000;7824.2000;14349.8000;283.5529
4;202.2665;22174.0000;7824.2000;14349.8000;287.8267
5;205.0479;22174.0000;7824.2000;14349.8000;292.2704
6;207.8282;22174.0000;7824.2000;14349.8000;296.8878
7;210.6073;22174.0000;7824.2000;14349.8000;301.6825
8;213.3853;22174.0000;7824.2000;14349.8000;306.6583
9;216.1622;21854.4000;7549.4000;14305.0000;267.0015
10;218.9380;21470.2000;7430.8000;14039.4000;6.7335
11;221.7126;22093.4000;7877.4000;14216.0000;188.8583
12;224.4861;22492.0000;7906.6000;14585.4000;563.9798
13;227.2584;22092.8000;7672.2000;14420.6000;405.1019
14;230.0296;22178.2000;7615.8000;14562.4000;553.0286
15;232.7997;22195.0000;7632.6000;14562.4000;559.3640
16;235.5687;22464.0000;7953.6000;14510.4000;513.9120
17;238.3365;22696.0000;7964.2000;14731.8000;742.0767
18;241.1032;22279.2000;7537.4000;14741.8000;759.0622
19;243.8687;21846.8000;7363.2000;14483.6000;508.0725
20;246.6331;21956.8000;7626.0000;14330.8000;362.7118
21;249.3964;22129.4000;7635.8000;14493.6000;533.1841
22;252.1586;22022.2000;7689.2000;14333.0000;380.4937
23;254.9196;22102.6000;7651.2000;14451.4000;507.0447
24;257.6795;22004.8000;7579.8000;14425.0000;489.0413
25;260.4382;22341.8000;7834.8000;14507.0000;579.6876
26;263.1959;22573.4000;8006.8000;14566.6000;648.1879
27;265.9524;22175.8000;7539.2000;14636.6000;727.3464
28;268.7078;21702.2000;7419.6000;14282.6000;382.7673
29;271.4620;21976.6000;7435.2000;14541.4000;651.2548
30;274.2151;22175.0000;7601.2000;14573.8000;693.6131
31;276.9671;22751.2000;8009.2000;14742.0000;872.0466
32;279.7180;22741.4000;7864.2000;14877.2000;1017.7595
33;282.4677;22376.4000;7580.2000;14796.2000;947.5559
34;285.2163;22385.4000;7594.2000;14791.2000;953.6402
35;287.9638;22472.0000;7605.2000;14866.8000;1040.6167
36;290.7101;22711.8000;7830.2000;14881.6000;1067.0895
37;293.4553;22804.0000;7726.6000;15077.4000;1274.8629
38;296.1994;22579.0000;7634.4000;14944.6000;1154.3412
39;298.9424;22956.4000;7967.0000;14989.4000;1211.7287
40;301.6842;22895.6000;7684.6000;15211.0000;1446.2295
41;304.4249;22208.2000;7399.4000;14808.8000;1057.2479
42;307.1645;22416.2000;7604.8000;14811.4000;1073.3882
43;309.9030;23088.8000;8355.0000;14733.8000;1009.6151
44;312.6403;23338.8000;8174.6000;15164.2000;1454.1310
45;315.3766;22214.4000;7406.6000;14807.8000;1112.1383
46;318.1117;22282.4000;7535.4000;14747.0000;1066.0394
47;320.8456;22594.6000;7664.6000;14930.0000;1264.0367
48;323.5785;22491.8000;7392.2000;15099.6000;1448.9326
49;326.3102;22393.6000;7538.8000;14854.8000;1219.7291
50;329.0408;22650.2000;7633.4000;15016.8000;1397.6284
51;331.7703;22223.0000;7468.6000;14754.4000;1151.4327
52;334.4986;22067.8000;7278.2000;14789.6000;1202.4257
53;337.2259;21922.0000;7339.4000;14582.6000;1012.2459
54;339.9520;22550.2000;8020.4000;14529.8000;976.5769
55;342.6770;22689.2000;7786.0000;14903.2000;1367.4202
56;345.4009;22290.0000;7875.2000;14414.8000;896.7777
57;348.1236;22777.2000;7929.6000;14847.6000;1347.6508
58;350.8452;22238.0000;7555.0000;14683.0000;1201.4411
59;353.5657;22365.2000;7615.4000;14749.8000;1286.9500
60;356.2851;22344.0000;7578.2000;14765.8000;1321.9788
61;359.0034;22262.0000;7505.0000;14757.0000;1332.5289
62;361.7206;22149.4000;7305.0000;14844.4000;1439.6014
