Data Generated by Optosky
File Version;1.2
Name;blood - 175
Creator;admin
Description;
Created;9/25/2025 8:39:50 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;8000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;41231.6000;27150.8000;14080.8000;170.3849
1;193.9154;41231.6000;27150.8000;14080.8000;173.6859
2;196.7002;41231.6000;27150.8000;14080.8000;177.1256
3;199.4839;41231.6000;27150.8000;14080.8000;180.7071
4;202.2665;41231.6000;27150.8000;14080.8000;184.4335
5;205.0479;41231.6000;27150.8000;14080.8000;188.3083
6;207.8282;41231.6000;27150.8000;14080.8000;192.3346
7;210.6073;41231.6000;27150.8000;14080.8000;196.5158
8;213.3853;41231.6000;27150.8000;14080.8000;200.8553
9;216.1622;40612.2000;26138.8000;14473.4000;597.9563
10;218.9380;38442.2000;23929.6000;14512.6000;641.8224
11;221.7126;39857.0000;25811.8000;14045.2000;179.2569
12;224.4861;42173.0000;27935.2000;14237.8000;376.8633
13;227.2584;40393.6000;26159.2000;14234.4000;378.6451
14;230.0296;41170.6000;26785.2000;14385.4000;535.0059
15;232.7997;40212.4000;25761.2000;14451.2000;606.3492
16;235.5687;41292.8000;27095.8000;14197.0000;357.8785
17;238.3365;42613.4000;28286.4000;14327.0000;493.7975
18;241.1032;40376.4000;25913.8000;14462.6000;635.5098
19;243.8687;38407.4000;24089.4000;14318.0000;497.2190
20;246.6331;39046.4000;25070.0000;13976.4000;162.1289
21;249.3964;40603.0000;26555.6000;14047.4000;239.8430
22;252.1586;39645.4000;25595.4000;14050.0000;249.3652
23;254.9196;40402.8000;26183.4000;14219.4000;425.8991
24;257.6795;39729.0000;25473.4000;14255.6000;469.4485
25;260.4382;40920.6000;26732.8000;14187.8000;409.2172
26;263.1959;42251.2000;28139.2000;14112.0000;341.2089
27;265.9524;40722.8000;26407.0000;14315.8000;553.0275
28;268.7078;37562.4000;23224.4000;14338.0000;583.4768
29;271.4620;39154.6000;24831.2000;14323.4000;577.3606
30;274.2151;39250.6000;24881.0000;14369.6000;632.2827
31;276.9671;42165.8000;27806.4000;14359.4000;631.0471
32;279.7180;42602.4000;28072.2000;14530.2000;811.0575
33;282.4677;40280.8000;25669.2000;14611.6000;901.9179
34;285.2163;40213.8000;25499.4000;14714.4000;1014.4322
35;287.9638;40780.0000;26019.0000;14761.0000;1071.0042
36;290.7101;41891.8000;27210.8000;14681.0000;1001.2378
37;293.4553;41846.4000;27176.2000;14670.2000;1000.9369
38;296.1994;40275.0000;25647.6000;14627.4000;968.9055
39;298.9424;41966.2000;27487.0000;14479.2000;831.7475
40;301.6842;41830.6000;27162.8000;14667.8000;1031.6668
41;304.4249;38258.8000;23623.0000;14635.8000;1011.2673
42;307.1645;39721.6000;25317.4000;14404.2000;791.5529
43;309.9030;42124.0000;27762.0000;14362.0000;761.4933
44;312.6403;44257.4000;29930.2000;14327.2000;739.0908
45;315.3766;39079.8000;24507.2000;14572.6000;997.1479
46;318.1117;38826.2000;24350.0000;14476.2000;913.6667
47;320.8456;40636.6000;26123.2000;14513.4000;964.0496
48;323.5785;40085.4000;25214.8000;14870.6000;1334.6987
49;326.3102;38554.8000;23659.8000;14895.0000;1372.8163
50;329.0408;40616.4000;25956.6000;14659.8000;1151.6045
51;331.7703;39532.0000;24935.8000;14596.2000;1102.2654
52;334.4986;38993.6000;24159.4000;14834.2000;1354.8009
53;337.2259;38053.2000;23250.6000;14802.6000;1338.0132
54;339.9520;41051.6000;26575.2000;14476.4000;1026.9041
55;342.6770;42589.6000;28001.2000;14588.4000;1154.2754
56;345.4009;38759.4000;23941.2000;14818.2000;1399.7291
57;348.1236;41560.6000;26954.2000;14606.4000;1203.8669
58;350.8452;40162.0000;25356.6000;14805.4000;1419.0906
59;353.5657;40369.2000;25590.2000;14779.0000;1409.2016
60;356.2851;40383.2000;25586.4000;14796.8000;1443.8018
61;359.0034;39853.4000;25106.8000;14746.6000;1410.6925
62;361.7206;39088.4000;24276.4000;14812.0000;1493.4752
63;364.4366;38566.8000;23826.4000;14740.4000;1439.5515
64;367.1515;41940.8000;27490.6000;14450.2000;1167.3225
65;369.8653;40276.8000;25652.6000;14624.2000;1359.5895
66;372.5780;39150.0000;24488.2000;14661.8000;1415.7538
67;375.2896;39396.4000;25144.4000;14252.0000;1024.8165
68;378.0000;41564.8000;27112.6000;14452.2000;1244.1786
69;380.7093;39697.8000;25107.2000;14590.6000;1402.0412
70;383.4175;41213.8000;26634.2000;14579.6000;1410.8051
71;386.1246;40120.0000;25421.2000;14698.8000;1550.0712
72;388.8306;39719.6000;25072.0000;14647.6000;1519.2403
73;391.5355;41364.8000;26895.6000;14469.2000;1361.5131
74;394.2392;42207.0000;27723.0000;14484.0000;1397.2900
75;396.9419;39988.6000;25479.0000;14509.6000;1444.1717
76;399.6434;40008.2000;25746.0000;14262.2000;1218.3586
77;402.3438;40817.0000;26751.6000;14065.4000;1043.4513
78;405.0431;41506.4000;27511.2000;13995.2000;995.4500
79;407.7413;39925.6000;25990.0000;13935.6000;958.3552
80;410.4383;38979.4000;25202.4000;13777.0000;822.5671
81;413.1343;39970.8000;26109.2000;13861.6000;930.2859
82;415.8291;39289.6000;25462.8000;13826.8000;918.9114
83;418.5229;39055.2000;25400.8000;13654.4000;770.2442
84;421.2155;38983.0000;25245.2000;13737.8000;877.6845
85;423.9070;39138.6000;25401.8000;13736.8000;901.0324
86;426.5974;38546.8000;24848.4000;13698.4000;887.2880
87;429.2867;37715.0000;24121.2000;13593.8000;807.6514
88;431.9748;38585.8000;25061.6000;13524.2000;763.3225
89;434.6619;39959.0000;26520.8000;13438.2000;702.9012
90;437.3478;39904.6000;26305.4000;13599.2000;889.7873
91;440.0327;38226.0000;24853.2000;13372.8000;689.5806
92;442.7164;41635.2000;28408.8000;13226.4000;569.6807
93;445.3990;39916.6000;26348.8000;13567.8000;937.8874
94;448.0806;37896.4000;24352.6000;13543.8000;941.0003
95;450.7610;39218.8000;25778.8000;13440.0000;864.6188
96;453.4403;40600.4000;26977.6000;13622.8000;1075.1421
97;456.1185;37984.0000;24212.0000;13772.0000;1252.3697
98;458.7955;38943.2000;25459.4000;13483.8000;992.5007
99;461.4715;41186.2000;27678.4000;13507.8000;1045.1342
100;464.1464;40235.6000;26733.6000;13502.0000;1068.2692
101;466.8202;39917.2000;26400.6000;13516.6000;1112.1048
102;469.4928;38782.6000;25350.2000;13432.4000;1057.4400
103;472.1644;39937.4000;26613.8000;13323.6000;978.4734
104;474.8348;39302.6000;26089.0000;13213.6000;898.6038
105;477.5042;39838.4000;26707.4000;13131.0000;846.4300
106;480.1724;35387.6000;22200.2000;13187.4000;933.5503
107;482.8395;37752.4000;24789.2000;12963.2000;740.3657
108;485.5056;37642.2000;24379.4000;13262.8000;1071.2720
