Data Generated by Optosky
File Version;1.2
Name;2510130926243 350mw 3000ms
Creator;admin
Description;
Created;10/13/2025 9:26:24 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;8000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pretreat;0_Baseline Correct_
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;45874.2000;29286.4000;16587.8000;732.4114
1;193.9154;45874.2000;29286.4000;16587.8000;736.9836
2;196.7002;45874.2000;29286.4000;16587.8000;741.7385
3;199.4839;45874.2000;29286.4000;16587.8000;746.6798
4;202.2665;45874.2000;29286.4000;16587.8000;751.8110
5;205.0479;45874.2000;29286.4000;16587.8000;757.1358
6;207.8282;45874.2000;29286.4000;16587.8000;762.6578
7;210.6073;45874.2000;29286.4000;16587.8000;768.3808
8;213.3853;45874.2000;29286.4000;16587.8000;774.3085
9;216.1622;45051.4000;28343.0000;16708.4000;901.0446
10;218.9380;42499.2000;25865.4000;16633.8000;832.7928
11;221.7126;44106.6000;27881.4000;16225.2000;430.7570
12;224.4861;46346.4000;30120.8000;16225.6000;437.9409
13;227.2584;44222.4000;27992.6000;16229.8000;449.1483
14;230.0296;44686.4000;28439.8000;16246.6000;473.1832
15;232.7997;44369.8000;27945.0000;16424.8000;658.8492
16;235.5687;45433.0000;29171.2000;16261.8000;503.5503
17;238.3365;46733.8000;30434.6000;16299.2000;548.8903
18;241.1032;44500.8000;28037.0000;16463.8000;721.6732
19;243.8687;42485.4000;26055.2000;16430.2000;696.5029
20;246.6331;43234.2000;27030.2000;16204.0000;478.9831
21;249.3964;44904.0000;28637.8000;16266.2000;550.1180
22;252.1586;43914.2000;27614.2000;16300.0000;593.1114
23;254.9196;44557.6000;28311.6000;16246.0000;548.5673
24;257.6795;43824.4000;27487.8000;16336.6000;648.8896
25;260.4382;44962.4000;28801.6000;16160.8000;483.0823
26;263.1959;46280.6000;30274.6000;16006.0000;338.5493
27;265.9524;44734.8000;28514.4000;16220.4000;563.4947
28;268.7078;41366.2000;25247.8000;16118.4000;472.3225
29;271.4620;42888.4000;26818.8000;16069.6000;434.6365
30;274.2151;42953.8000;26783.4000;16170.4000;546.8409
31;276.9671;45967.0000;29970.8000;15996.2000;384.3396
32;279.7180;46526.8000;30352.4000;16174.4000;574.5367
33;282.4677;44195.8000;27758.4000;16437.4000;849.8360
34;285.2163;44046.0000;27581.2000;16464.8000;889.8417
35;287.9638;44671.0000;28149.8000;16521.2000;959.1577
36;290.7101;45838.4000;29230.6000;16607.8000;1058.9881
37;293.4553;46072.8000;29333.6000;16739.2000;1203.9367
38;296.1994;44652.4000;27716.0000;16936.4000;1415.0077
39;298.9424;46194.4000;29531.4000;16663.0000;1155.8050
40;301.6842;46072.0000;29347.8000;16724.2000;1231.5326
41;304.4249;42327.4000;25556.6000;16770.8000;1292.9946
42;307.1645;43809.0000;27394.2000;16414.8000;952.1949
43;309.9030;46255.4000;29933.0000;16322.4000;875.2864
44;312.6403;48759.4000;32246.8000;16512.6000;1081.2707
45;315.3766;43277.2000;26580.4000;16696.8000;1281.5498
46;318.1117;42877.0000;26253.4000;16623.6000;1224.7255
47;320.8456;44708.4000;28141.2000;16567.2000;1184.9993
48;323.5785;44292.4000;27315.6000;16976.8000;1611.5729
49;326.3102;42498.2000;25622.8000;16875.4000;1527.4481
50;329.0408;44698.4000;27982.8000;16715.6000;1385.2262
51;331.7703;43718.4000;26969.2000;16749.2000;1436.7088
52;334.4986;42970.0000;26054.0000;16916.0000;1621.6974
53;337.2259;41787.8000;25116.0000;16671.8000;1395.9933
54;339.9520;44933.8000;28702.2000;16231.6000;974.5979
55;342.6770;46505.4000;30275.2000;16230.2000;992.3125
56;345.4009;42490.8000;25909.8000;16581.0000;1362.5382
57;348.1236;45487.6000;28881.2000;16606.4000;1407.6763
58;350.8452;44267.6000;27393.2000;16874.4000;1695.7278
59;353.5657;44511.0000;27741.4000;16769.6000;1611.2939
60;356.2851;44384.4000;27607.6000;16776.8000;1639.1754
61;359.0034;43882.6000;26999.0000;16883.6000;1766.9732
62;361.7206;43166.6000;26181.2000;16985.4000;1890.0884
63;364.4366;42346.0000;25728.4000;16617.6000;1543.9215
64;367.1515;45885.2000;29475.4000;16409.8000;1358.0735
65;369.8653;44170.8000;27601.0000;16569.8000;1540.3448
66;372.5780;43054.6000;26550.8000;16503.8000;1496.9362
67;375.2896;43255.2000;27190.4000;16064.8000;1080.8481
68;378.0000;45497.8000;29209.0000;16288.8000;1328.0810
69;380.7093;43567.6000;26988.6000;16579.0000;1641.8352
70;383.4175;45088.2000;28798.6000;16289.6000;1376.3112
71;386.1246;43977.0000;27545.6000;16431.4000;1542.3091
72;388.8306;43557.4000;26997.8000;16559.6000;1695.0292
73;391.5355;45206.6000;28985.0000;16221.6000;1381.8716
74;394.2392;46015.6000;30003.0000;16012.6000;1198.0363
