Data Generated by Optosky
File Version;1.2
Name;2510081120313 350mw 3000ms
Creator;admin
Description;
Created;10/8/2025 11:20:31 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;8000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;49643.8000;33769.4000;15874.4000;668.4355
1;193.9154;49643.8000;33769.4000;15874.4000;673.5177
2;196.7002;49643.8000;33769.4000;15874.4000;678.7990
3;199.4839;49643.8000;33769.4000;15874.4000;684.2830
4;202.2665;49643.8000;33769.4000;15874.4000;689.9734
5;205.0479;49643.8000;33769.4000;15874.4000;695.8738
6;207.8282;49643.8000;33769.4000;15874.4000;701.9879
7;210.6073;49643.8000;33769.4000;15874.4000;708.3195
8;213.3853;49643.8000;33769.4000;15874.4000;714.8722
9;216.1622;48883.2000;32804.2000;16079.0000;926.2497
10;218.9380;46253.0000;30209.2000;16043.8000;898.0558
11;221.7126;47965.0000;32010.4000;15954.6000;816.0943
12;224.4861;50708.4000;34682.6000;16025.8000;894.7688
13;227.2584;48371.8000;32699.0000;15672.8000;549.4832
14;230.0296;49501.4000;33602.8000;15898.6000;783.2411
15;232.7997;48438.2000;32360.2000;16078.0000;970.8464
16;235.5687;49363.4000;33621.8000;15741.6000;642.9029
17;238.3365;50847.4000;35241.0000;15606.4000;516.4143
18;241.1032;48429.6000;32630.8000;15798.8000;717.7844
19;243.8687;46329.8000;30319.6000;16010.2000;938.4170
20;246.6331;47046.8000;31226.2000;15820.6000;758.3159
21;249.3964;48846.6000;33162.2000;15684.4000;631.8849
22;252.1586;47965.0000;32078.2000;15886.8000;844.3278
23;254.9196;48633.0000;32738.0000;15895.0000;862.8483
24;257.6795;47811.8000;31937.0000;15874.8000;853.2504
25;260.4382;49172.4000;33324.6000;15847.8000;837.1376
26;263.1959;50479.8000;34973.4000;15506.4000;506.9140
27;265.9524;48928.0000;33141.6000;15786.4000;798.3831
28;268.7078;45241.4000;29202.4000;16039.0000;1062.7489
29;271.4620;46854.2000;31038.2000;15816.0000;851.8151
30;274.2151;47039.2000;31287.2000;15752.0000;800.1854
