Data Generated by Optosky
File Version;1.2
Name;2510091457363 350mw 3000ms
Creator;admin
Description;
Created;10/9/2025 2:57:36 PM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;8000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;45894.6000;31133.2000;14761.4000;585.5030
1;193.9154;45894.6000;31133.2000;14761.4000;591.0222
2;196.7002;45894.6000;31133.2000;14761.4000;596.7558
3;199.4839;45894.6000;31133.2000;14761.4000;602.7075
4;202.2665;45894.6000;31133.2000;14761.4000;608.8812
5;205.0479;45894.6000;31133.2000;14761.4000;615.2806
6;207.8282;45894.6000;31133.2000;14761.4000;621.9096
7;210.6073;45894.6000;31133.2000;14761.4000;628.7719
8;213.3853;45894.6000;31133.2000;14761.4000;635.8715
9;216.1622;45091.4000;30029.8000;15061.6000;943.4121
10;218.9380;42632.2000;27460.8000;15171.4000;1060.7976
11;221.7126;44314.6000;29452.8000;14861.8000;759.0319
12;224.4861;46678.4000;31857.2000;14821.2000;726.5187
13;227.2584;44812.2000;29954.0000;14858.2000;771.8619
14;230.0296;45840.6000;30855.0000;14985.6000;907.8653
15;232.7997;44886.2000;29689.4000;15196.8000;1127.9329
16;235.5687;45879.8000;30906.2000;14973.6000;913.8685
17;238.3365;47254.6000;32320.0000;14934.6000;884.2758
18;241.1032;44959.4000;29814.0000;15145.4000;1104.7588
19;243.8687;42799.8000;27807.2000;14992.6000;961.9213
20;246.6331;43412.0000;28769.6000;14642.4000;621.9670
21;249.3964;45134.6000;30473.6000;14661.0000;651.1000
22;252.1586;44204.2000;29464.2000;14740.0000;740.9239
23;254.9196;44851.0000;30084.4000;14766.6000;778.6426
24;257.6795;44227.4000;29256.4000;14971.0000;994.4599
25;260.4382;45381.8000;30604.0000;14777.8000;812.9796
26;263.1959;46715.4000;32033.6000;14681.8000;729.0055
27;265.9524;45249.2000;30292.4000;14956.8000;1016.3414
28;268.7078;41749.0000;26803.8000;14945.2000;1017.3910
29;271.4620;43382.8000;28582.4000;14800.4000;885.5581
30;274.2151;43523.4000;28631.4000;14892.0000;990.4464
31;276.9671;46604.8000;31856.4000;14748.4000;860.4597
32;279.7180;47079.0000;32154.0000;14925.0000;1051.0017
33;282.4677;44661.8000;29543.0000;15118.8000;1259.0761
34;285.2163;44501.6000;29268.8000;15232.8000;1387.6865
35;287.9638;45115.0000;29942.2000;15172.8000;1342.6367
36;290.7101;46398.2000;31318.8000;15079.4000;1264.5302
37;293.4553;46316.4000;31212.4000;15104.0000;1304.7706
38;296.1994;44669.8000;29405.6000;15264.2000;1480.9617
39;298.9424;46494.2000;31336.4000;15157.8000;1390.9070
40;301.6842;46218.2000;31162.4000;15055.8000;1305.6101
41;304.4249;42166.2000;27244.8000;14921.4000;1188.2745
42;307.1645;43795.6000;29133.8000;14661.8000;946.1038
43;309.9030;46290.6000;31755.8000;14534.8000;836.8374
44;312.6403;48778.2000;34141.2000;14637.0000;957.0763
45;315.3766;43004.0000;28227.0000;14777.0000;1115.4212
46;318.1117;42707.4000;27951.4000;14756.0000;1113.0730
47;320.8456;44618.2000;29990.0000;14628.2000;1004.2323
48;323.5785;44223.0000;29160.6000;15062.4000;1457.6998
49;326.3102;42244.8000;27416.6000;14828.2000;1243.0761
50;329.0408;44475.8000;29822.4000;14653.4000;1088.1618
51;331.7703;43392.0000;28759.8000;14632.2000;1087.1572
52;334.4986;42523.2000;27918.0000;14605.2000;1080.6628
53;337.2259;41450.8000;26954.0000;14496.8000;993.0789
54;339.9520;44664.4000;30516.2000;14148.2000;665.6058
55;342.6770;46295.8000;32220.2000;14075.6000;614.4435
56;345.4009;42117.8000;27602.2000;14515.6000;1076.1924
57;348.1236;45209.4000;30630.0000;14579.4000;1162.0524
58;350.8452;44108.2000;29317.2000;14791.0000;1396.0235
59;353.5657;44243.8000;29555.0000;14688.8000;1316.5056
60;356.2851;44150.6000;29433.2000;14717.4000;1368.0986
61;359.0034;43568.2000;28867.0000;14701.2000;1375.2023
62;361.7206;42827.6000;28009.8000;14817.8000;1515.4163
63;364.4366;42109.8000;27381.8000;14728.0000;1449.5404
64;367.1515;45748.8000;31311.2000;14437.6000;1183.3740
65;369.8653;43925.8000;29508.0000;14417.8000;1188.1167
66;372.5780;42737.0000;28384.2000;14352.8000;1147.9679
67;375.2896;42760.2000;28882.6000;13877.6000;697.9269
68;378.0000;45248.6000;31131.0000;14117.6000;963.3930
69;380.7093;43253.4000;28951.8000;14301.6000;1173.1654
70;383.4175;44868.0000;30632.6000;14235.4000;1133.0433
71;386.1246;43757.6000;29331.0000;14426.6000;1350.6259
72;388.8306;43088.6000;28857.4000;14231.2000;1181.9120
73;391.5355;44831.6000;30829.8000;14001.8000;979.5006
74;394.2392;45823.0000;31844.4000;13978.6000;983.5904
75;396.9419;43369.2000;29404.6000;13964.6000;997.1803
76;399.6434;43267.0000;29666.6000;13600.4000;660.8688
77;402.3438;44209.6000;30805.6000;13404.0000;492.6546
78;405.0431;44979.2000;31658.8000;13320.4000;437.5361
79;407.7413;43435.2000;30042.4000;13392.8000;538.7118
80;410.4383;42378.6000;29008.0000;13370.6000;545.5802
81;413.1343;43412.2000;30132.6000;13279.6000;483.9395
82;415.8291;42868.2000;29407.4000;13460.8000;694.7881
83;418.5229;42631.4000;29226.4000;13405.0000;668.9250
84;421.2155;42511.6000;29113.4000;13398.2000;692.3491
