Data Generated by Optosky
File Version;1.2
Name;2509250831108 350mw 3000ms
Creator;admin
Description;
Created;9/25/2025 8:31:10 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;8000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pretreat;0_Baseline Correct_
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;43745.2000;27242.8000;16502.4000;296.3765
1;193.9154;43745.2000;27242.8000;16502.4000;300.6178
2;196.7002;43745.2000;27242.8000;16502.4000;305.0327
3;199.4839;43745.2000;27242.8000;16502.4000;309.6249
4;202.2665;43745.2000;27242.8000;16502.4000;314.3983
5;205.0479;43745.2000;27242.8000;16502.4000;319.3565
6;207.8282;43745.2000;27242.8000;16502.4000;324.5033
7;210.6073;43745.2000;27242.8000;16502.4000;329.8426
8;213.3853;43745.2000;27242.8000;16502.4000;335.3782
9;216.1622;43100.4000;26287.8000;16812.6000;651.3140
10;218.9380;40925.4000;24024.8000;16900.6000;745.2540
11;221.7126;42486.4000;25806.6000;16679.8000;530.6020
12;224.4861;44639.4000;27930.4000;16709.0000;566.1620
13;227.2584;42914.4000;26232.2000;16682.2000;545.9381
14;230.0296;43660.0000;26908.4000;16751.6000;622.1342
15;232.7997;42709.6000;25870.6000;16839.0000;716.5544
16;235.5687;43679.0000;27145.2000;16533.8000;418.6028
17;238.3365;44973.6000;28363.4000;16610.2000;502.4834
18;241.1032;42866.0000;26005.6000;16860.4000;760.4004
19;243.8687;40910.2000;24157.2000;16753.0000;660.9579
20;246.6331;41534.0000;25099.4000;16434.6000;350.7600
21;249.3964;43114.4000;26636.4000;16478.0000;402.6109
22;252.1586;42240.4000;25768.2000;16472.2000;405.5148
23;254.9196;42849.4000;26212.2000;16637.2000;579.4759
24;257.6795;42205.2000;25500.0000;16705.2000;656.6984
25;260.4382;43257.6000;26805.8000;16451.8000;412.7865
26;263.1959;44413.4000;28099.2000;16314.2000;284.9446
27;265.9524;43054.4000;26431.0000;16623.4000;604.1768
28;268.7078;40005.0000;23403.6000;16601.4000;592.4874
29;271.4620;41525.6000;24902.8000;16622.8000;624.4808
30;274.2151;41694.6000;24814.2000;16880.4000;892.9612
31;276.9671;44594.8000;27870.8000;16724.0000;747.7328
32;279.7180;45058.2000;28079.6000;16978.6000;1013.8001
33;282.4677;42863.4000;25662.4000;17201.0000;1247.9673
34;285.2163;42545.2000;25578.8000;16966.4000;1025.4387
35;287.9638;43082.8000;26163.2000;16919.6000;991.0187
36;290.7101;44251.4000;27325.6000;16925.8000;1009.9115
37;293.4553;44068.0000;27259.6000;16808.4000;905.5215
38;296.1994;42566.0000;25707.2000;16858.8000;969.2531
39;298.9424;44351.4000;27504.0000;16847.4000;971.5105
40;301.6842;44100.2000;27212.0000;16888.2000;1026.2982
41;304.4249;40591.0000;23660.2000;16930.8000;1083.2203
42;307.1645;42100.2000;25443.0000;16657.2000;824.2813
43;309.9030;44423.4000;27870.6000;16552.8000;734.8397
44;312.6403;46628.4000;29989.6000;16638.8000;836.0977
45;315.3766;41554.4000;24602.2000;16952.2000;1165.0576
46;318.1117;41311.8000;24426.6000;16885.2000;1113.9217
47;320.8456;43088.6000;26212.2000;16876.4000;1121.2923
48;323.5785;42625.4000;25329.2000;17296.2000;1557.5713
49;326.3102;40929.0000;23807.2000;17121.8000;1399.9610
50;329.0408;43091.6000;26033.2000;17058.4000;1353.6633
51;331.7703;42253.6000;25017.8000;17235.8000;1548.4802
52;334.4986;41442.4000;24225.8000;17216.6000;1547.0138
53;337.2259;40528.8000;23440.2000;17088.6000;1437.0657
54;339.9520;43419.6000;26705.4000;16714.2000;1081.0378
55;342.6770;44882.6000;28090.4000;16792.2000;1177.7320
56;345.4009;41079.4000;23961.0000;17118.4000;1522.9497
57;348.1236;43841.2000;27035.4000;16805.8000;1229.6928
58;350.8452;42377.8000;25500.6000;16877.2000;1320.7626
59;353.5657;42605.8000;25715.8000;16890.0000;1353.5607
60;356.2851;42567.4000;25614.2000;16953.2000;1437.0886
61;359.0034;42094.6000;25079.4000;17015.2000;1519.7475
62;361.7206;41547.2000;24349.8000;17197.4000;1722.9387
63;364.4366;40812.8000;24083.2000;16729.6000;1276.4635
64;367.1515;44219.4000;27588.8000;16630.6000;1199.1229
65;369.8653;42539.8000;25612.0000;16927.8000;1518.3180
66;372.5780;41403.2000;24650.4000;16752.8000;1365.6498
67;375.2896;41514.0000;25295.0000;16219.0000;854.5192
68;378.0000;43710.2000;27185.0000;16525.2000;1183.7269
69;380.7093;41890.0000;25137.6000;16752.4000;1434.2738
70;383.4175;43391.6000;26754.8000;16636.8000;1342.3604
71;386.1246;42349.8000;25494.4000;16855.4000;1584.9873
72;388.8306;41946.8000;25094.0000;16852.8000;1606.7550
73;391.5355;43629.2000;26934.4000;16694.8000;1473.4639
74;394.2392;44575.6000;27831.2000;16744.4000;1548.1143
75;396.9419;42283.4000;25700.4000;16583.0000;1412.1063
76;399.6434;42183.8000;25908.2000;16275.6000;1130.4402
77;402.3438;43045.2000;26900.8000;16144.4000;1025.3162
78;405.0431;43726.8000;27710.6000;16016.2000;923.5345
79;407.7413;42228.6000;26103.0000;16125.6000;1059.6950
80;410.4383;41195.4000;25234.8000;15960.6000;921.7975
81;413.1343;42113.4000;26216.6000;15896.8000;885.4418
82;415.8291;41510.8000;25551.8000;15959.0000;975.4277
83;418.5229;41252.6000;25450.6000;15802.0000;846.5551
84;421.2155;41138.0000;25363.4000;15774.6000;847.6242
85;423.9070;41294.4000;25527.6000;15766.8000;868.6350
86;426.5974;40750.2000;24898.4000;15851.8000;982.7875
