Data Generated by Optosky
File Version;1.2
Name;2509250910489 350mw 3000ms
Creator;admin
Description;
Created;9/25/2025 9:10:48 AM
Integration Time(ms);3000
Laser Power(mW);350
Average Number;5
Scan Mode;High Precision Scan
Scan Interval;8000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;45977.4000;30800.8000;15176.6000;144.1144
1;193.9154;45977.4000;30800.8000;15176.6000;147.2770
2;196.7002;45977.4000;30800.8000;15176.6000;150.5748
3;199.4839;45977.4000;30800.8000;15176.6000;154.0110
4;202.2665;45977.4000;30800.8000;15176.6000;157.5888
5;205.0479;45977.4000;30800.8000;15176.6000;161.3118
6;207.8282;45977.4000;30800.8000;15176.6000;165.1831
7;210.6073;45977.4000;30800.8000;15176.6000;169.2063
8;213.3853;45977.4000;30800.8000;15176.6000;173.3847
9;216.1622;45157.8000;29796.0000;15361.8000;362.9219
10;218.9380;42896.2000;27337.8000;15558.4000;564.0214
11;221.7126;44528.0000;29248.8000;15279.2000;289.4867
12;224.4861;46945.4000;31569.8000;15375.6000;390.7215
13;227.2584;45020.0000;29714.6000;15305.4000;325.5294
14;230.0296;45907.6000;30468.2000;15439.4000;464.7139
15;232.7997;44868.0000;29270.4000;15597.6000;628.2789
16;235.5687;45836.6000;30678.4000;15158.2000;194.4279
17;238.3365;47316.6000;32123.8000;15192.8000;234.7649
18;241.1032;45051.6000;29627.4000;15424.2000;472.0935
19;243.8687;42946.8000;27529.4000;15417.4000;471.4175
20;246.6331;43608.0000;28517.0000;15091.0000;151.3409
21;249.3964;45407.2000;30167.8000;15239.4000;306.2674
22;252.1586;44473.2000;29091.8000;15381.4000;455.0010
23;254.9196;45185.0000;29768.2000;15416.8000;497.3455
24;257.6795;44350.0000;28998.0000;15352.0000;439.7050
25;260.4382;45567.4000;30421.0000;15146.4000;241.4833
26;263.1959;47010.0000;31817.6000;15192.4000;295.0844
27;265.9524;45415.2000;30029.2000;15386.0000;496.5125
28;268.7078;41984.6000;26471.2000;15513.4000;631.9713
29;271.4620;43662.8000;28244.6000;15418.2000;545.0652
30;274.2151;43827.2000;28345.2000;15482.0000;617.3979
31;276.9671;46905.6000;31552.0000;15353.6000;497.7738
32;279.7180;47377.8000;31872.6000;15505.2000;658.3968
33;282.4677;44998.4000;29261.4000;15737.0000;899.4710
34;285.2163;44795.8000;29018.0000;15777.8000;949.8007
35;287.9638;45493.6000;29590.2000;15903.4000;1085.1898
36;290.7101;46763.0000;30975.6000;15787.4000;979.2426
37;293.4553;46779.6000;30890.8000;15888.8000;1090.9632
38;296.1994;45171.6000;29204.0000;15967.6000;1180.3558
39;298.9424;46940.0000;31145.4000;15794.6000;1018.2245
40;301.6842;46845.8000;30879.2000;15966.6000;1201.3736
41;304.4249;42888.0000;26996.8000;15891.2000;1137.4072
42;307.1645;44507.6000;28832.2000;15675.4000;933.3295
43;309.9030;46903.4000;31413.4000;15490.0000;759.9126
44;312.6403;49609.8000;33848.2000;15761.6000;1043.7595
45;315.3766;43843.2000;28055.8000;15787.4000;1082.0726
46;318.1117;43457.8000;27722.8000;15735.0000;1042.4546
47;320.8456;45366.4000;29655.4000;15711.0000;1031.5082
48;323.5785;44977.2000;28908.0000;16069.2000;1403.0359
49;326.3102;43037.0000;27085.4000;15951.6000;1299.0402
50;329.0408;45302.6000;29492.4000;15810.2000;1171.5237
51;331.7703;44343.0000;28442.0000;15901.0000;1276.4886
52;334.4986;43597.8000;27586.6000;16011.2000;1401.1375
53;337.2259;42474.4000;26688.6000;15785.8000;1190.4726
54;339.9520;45674.8000;30169.8000;15505.0000;924.6962
55;342.6770;47421.0000;31837.2000;15583.8000;1018.8105
56;345.4009;43379.2000;27365.0000;16014.2000;1464.8177
57;348.1236;46351.2000;30339.0000;16012.2000;1478.7200
58;350.8452;45010.4000;28938.8000;16071.6000;1554.3194
59;353.5657;45268.8000;29272.2000;15996.6000;1495.8178
60;356.2851;45187.0000;29101.6000;16085.4000;1601.4173
61;359.0034;44649.6000;28474.0000;16175.6000;1708.7197
62;361.7206;43972.4000;27747.8000;16224.6000;1775.1269
63;364.4366;43178.6000;27127.0000;16051.6000;1619.8406
64;367.1515;46814.2000;30970.6000;15843.6000;1429.8624
65;369.8653;45133.8000;29155.2000;15978.6000;1583.1940
66;372.5780;43851.6000;28028.4000;15823.2000;1446.4370
67;375.2896;43971.0000;28551.4000;15419.6000;1061.7927
68;378.0000;46509.4000;30776.0000;15733.4000;1394.8627
69;380.7093;44308.0000;28561.8000;15746.2000;1427.2481
70;383.4175;45950.6000;30264.4000;15686.2000;1387.1504
71;386.1246;44889.4000;29032.4000;15857.0000;1578.1705
72;388.8306;44378.0000;28567.2000;15810.8000;1552.5096
73;391.5355;46132.8000;30480.2000;15652.6000;1415.1688
74;394.2392;47155.8000;31515.8000;15640.0000;1423.7489
75;396.9419;44830.8000;29075.6000;15755.2000;1560.4508
76;399.6434;44820.0000;29254.0000;15566.0000;1393.0752
77;402.3438;45611.4000;30547.6000;15063.8000;913.0228
78;405.0431;46301.8000;31360.6000;14941.2000;812.8942
79;407.7413;44740.2000;29621.0000;15119.2000;1013.6898
80;410.4383;43680.8000;28675.8000;15005.0000;922.6101
81;413.1343;44666.2000;29813.0000;14853.2000;794.2554
82;415.8291;44036.0000;29076.0000;14960.0000;924.8261
83;418.5229;43908.2000;28889.0000;15019.2000;1008.1227
84;421.2155;43821.0000;28796.2000;15024.8000;1038.1456
85;423.9070;43985.0000;29017.2000;14967.8000;1005.8953
86;426.5974;43394.0000;28323.6000;15070.4000;1133.5721
87;429.2867;42470.4000;27556.8000;14913.6000;1002.1761
88;431.9748;43226.8000;28602.8000;14624.0000;738.3076
89;434.6619;44754.2000;30134.2000;14620.0000;760.3667
90;437.3478;44774.6000;29899.0000;14875.6000;1042.3534
91;440.0327;42903.4000;28077.2000;14826.2000;1019.6676
92;442.7164;46611.0000;31932.8000;14678.2000;898.7093
93;445.3990;44679.0000;29995.4000;14683.6000;931.4787
94;448.0806;42581.0000;27747.6000;14833.4000;1108.9754
95;450.7610;43848.4000;29127.6000;14720.8000;1024.3991
96;453.4403;45259.0000;30567.6000;14691.4000;1023.3494
97;456.1185;42393.8000;27600.2000;14793.6000;1154.2256
98;458.7955;43397.8000;28782.8000;14615.0000;1004.6273
99;461.4715;45924.6000;31380.8000;14543.8000;962.7538
100;464.1464;44975.2000;30359.6000;14615.6000;1064.2042
101;466.8202;44560.8000;30062.8000;14498.0000;976.5777
102;469.4928;43239.6000;28729.2000;14510.4000;1019.2734
103;472.1644;44642.6000;30150.6000;14492.0000;1031.4904
