Data Generated by Optosky
File Version;1.2
Name;2509150914089 250mw 3000ms
Creator;admin
Description;
Created;9/15/2025 9:14:08 AM
Integration Time(ms);3000
Laser Power(mW);250
Average Number;3
Scan Mode;Precise Scan
Scan Interval;1000
Device Model;ATR25000
Pixel Num;2048
Device Sn;242320457XX
Pixel;Raman Shift;Raw;Dark;Dark Subtracted;BaseLine Subtracted
0;191.1294;22956.3333;14207.0000;8749.3333;1019.8156
1;193.9154;22956.3333;14207.0000;8749.3333;1024.7766
2;196.7002;22956.3333;14207.0000;8749.3333;1029.9243
3;199.4839;22956.3333;14207.0000;8749.3333;1035.2613
4;202.2665;22956.3333;14207.0000;8749.3333;1040.7905
5;205.0479;22956.3333;14207.0000;8749.3333;1046.5147
6;207.8282;22956.3333;14207.0000;8749.3333;1052.4368
7;210.6073;22956.3333;14207.0000;8749.3333;1058.5596
8;213.3853;22956.3333;14207.0000;8749.3333;1064.8857
9;216.1622;22319.6667;13453.6667;8866.0000;1188.0847
10;218.9380;21108.0000;12440.6667;8667.3333;996.1593
11;221.7126;22296.6667;13760.6667;8536.0000;871.7901
12;224.4861;23360.3333;14532.3333;8828.0000;1170.9685
13;227.2584;22211.3333;13730.0000;8481.3333;831.6974
14;230.0296;22334.3333;13837.0000;8497.3333;855.3127
15;232.7997;21769.6667;13312.3333;8457.3333;823.1505
16;235.5687;22626.6667;14182.6667;8444.0000;817.8800
17;238.3365;23162.6667;14730.6667;8432.0000;814.1705
18;241.1032;21656.6667;13268.6667;8388.0000;778.6912
19;243.8687;20639.0000;12419.6667;8219.3333;618.7782
20;246.6331;21197.0000;13139.6667;8057.3333;465.7672
21;249.3964;21891.0000;13694.3333;8196.6667;614.3275
22;252.1586;21414.3333;13316.6667;8097.6667;524.7949
23;254.9196;21753.0000;13524.6667;8228.3333;665.1722
24;257.6795;21351.3333;13121.0000;8230.3333;677.1285
25;260.4382;22173.6667;13990.3333;8183.3333;640.3328
26;263.1959;22928.0000;14742.0000;8186.0000;653.4543
27;265.9524;21805.6667;13476.6667;8329.0000;807.1619
28;268.7078;20183.6667;12226.0000;7957.6667;446.7914
29;271.4620;21127.3333;12913.0000;8214.3333;714.6784
30;274.2151;21120.0000;12970.0000;8150.0000;661.8252
31;276.9671;22821.6667;14589.6667;8232.0000;755.5673
32;279.7180;22996.3333;14526.6667;8469.6667;1005.2403
33;282.4677;21648.0000;13238.6667;8409.3333;957.1797
34;285.2163;21508.3333;13184.3333;8324.0000;884.3877
35;287.9638;21837.0000;13551.0000;8286.0000;859.1997
36;290.7101;22602.0000;14224.6667;8377.3333;963.6178
37;293.4553;22523.0000;14043.0000;8480.0000;1079.6441
38;296.1994;21683.0000;13284.3333;8398.6667;1011.9472
39;298.9424;22725.3333;14407.3333;8318.0000;945.1959
40;301.6842;22430.0000;13939.3333;8490.6667;1132.0587
41;304.4249;20554.0000;12323.3333;8230.6667;886.5376
42;307.1645;21466.6667;13246.0000;8220.6667;891.3012
43;309.9030;23072.6667;14917.3333;8155.3333;840.9583
44;312.6403;24091.0000;15683.3333;8407.6667;1108.5083
45;315.3766;20766.3333;12461.3333;8305.0000;1021.2840
46;318.1117;20828.6667;12789.6667;8039.0000;770.9514
47;320.8456;21659.0000;13586.6667;8072.3333;820.1766
48;323.5785;21145.3333;12885.6667;8259.6667;1023.6255
49;326.3102;20556.6667;12592.6667;7964.0000;744.2971
50;329.0408;21611.6667;13549.3333;8062.3333;859.6253
51;331.7703;20742.3333;12829.3333;7913.0000;727.0729
52;334.4986;20233.3333;12297.6667;7935.6667;766.7404
53;337.2259;19830.3333;12097.3333;7733.0000;581.2932
54;339.9520;21984.6667;14188.0000;7796.6667;662.3969
55;342.6770;22474.3333;14471.6667;8002.6667;886.0502
56;345.4009;20590.3333;12964.3333;7626.0000;527.2521
57;348.1236;22535.6667;14704.6667;7831.0000;750.3343
58;350.8452;21005.0000;12967.6667;8037.3333;974.9621
59;353.5657;21339.6667;13237.6667;8102.0000;1058.1342
60;356.2851;21343.6667;13161.0000;8182.6667;1157.5363
61;359.0034;21024.3333;12881.0000;8143.3333;1137.1463
62;361.7206;20478.0000;12329.3333;8148.6667;1161.6294
63;364.4366;20507.3333;12884.6667;7622.6667;654.9840
64;367.1515;22333.6667;14559.6667;7774.0000;825.8749
65;369.8653;20780.3333;13062.3333;7718.0000;789.6339
66;372.5780;20077.3333;12649.6667;7427.6667;519.2591
67;375.2896;20572.0000;13451.6667;7120.3333;232.0821
68;378.0000;21505.6667;14074.0000;7431.6667;563.7675
69;380.7093;20311.0000;13121.6667;7189.3333;341.9803
70;383.4175;21299.3333;13918.6667;7380.6667;554.0516
71;386.1246;20584.3333;13110.6667;7473.6667;667.9794
72;388.8306;20392.3333;13036.3333;7356.0000;571.4284
73;391.5355;21528.0000;14092.6667;7435.3333;672.0629
74;394.2392;21956.3333;14396.0000;7560.3333;818.5476
75;396.9419;20612.3333;13197.0000;7415.3333;695.2134
76;399.6434;20626.6667;13369.0000;7257.6667;559.3914
77;402.3438;21220.0000;14068.3333;7151.6667;475.4126
78;405.0431;21602.3333;14378.6667;7223.6667;569.6080
79;407.7413;20612.0000;13420.3333;7191.6667;559.9750
80;410.4383;20184.3333;13089.6667;7094.6667;485.5112
81;413.1343;20559.0000;13581.6667;6977.3333;390.8807
82;415.8291;20047.0000;13237.3333;6809.6667;246.0809
83;418.5229;19971.6667;13155.0000;6816.6667;276.1100
84;421.2155;19940.6667;13078.6667;6862.0000;344.6328
85;423.9070;19953.3333;13111.3333;6842.0000;347.9808
86;426.5974;19484.3333;12707.0000;6777.3333;306.8188
87;429.2867;19134.6667;12418.0000;6716.6667;269.8116
88;431.9748;19643.6667;13028.0000;6615.6667;192.6240
89;434.6619;20493.3333;13839.6667;6653.6667;254.5876
90;437.3478;20241.6667;13512.0000;6729.6667;354.6894
91;440.0327;19802.6667;13446.3333;6356.3333;5.6053
92;442.7164;21814.3333;15166.0000;6648.3333;322.0001
93;445.3990;20285.6667;13437.6667;6848.0000;546.2055
94;448.0806;19216.3333;12540.3333;6676.0000;398.8750
95;450.7610;20215.6667;13559.0000;6656.6667;404.3514
96;453.4403;20810.3333;13973.0000;6837.3333;609.9662
97;456.1185;19229.6667;12478.3333;6751.3333;549.0511
98;458.7955;20047.6667;13398.6667;6649.0000;471.9373
99;461.4715;21234.0000;14340.6667;6893.3333;743.0190
100;464.1464;20547.6667;13826.6667;6721.0000;596.1692
101;466.8202;20175.0000;13522.3333;6652.6667;553.4490
102;469.4928;19694.0000;13271.6667;6422.3333;348.8561
103;472.1644;20293.0000;13877.3333;6415.6667;368.0554
104;474.8348;20142.6667;13878.6667;6264.0000;242.3785
105;477.5042;20235.6667;13811.6667;6424.0000;428.4900
106;480.1724;17908.6667;11862.6667;6046.0000;76.7231
107;482.8395;19290.6667;13155.6667;6135.0000;192.0740
108;485.5056;18682.3333;12455.0000;6227.3333;310.8738
109;488.1705;19279.0000;13242.3333;6036.6667;146.7875
110;490.8343;21045.3333;14973.6667;6071.6667;208.4798
111;493.4970;20946.6667;14747.6667;6199.0000;362.6154
112;496.1586;20576.0000;14510.3333;6065.6667;256.1922
113;498.8191;21818.0000;15708.0000;6110.0000;327.5417
114;501.4786;20027.3333;13844.0000;6183.3333;427.9952
115;504.1369;19079.0000;13186.0000;5893.0000;164.8838
116;506.7941;19264.6667;13219.0000;6045.6667;344.8725
117;509.4502;18427.6667;12580.6667;5847.0000;173.6259
118;512.1052;20789.0000;14669.6667;6119.3333;473.4757
119;514.7591;20892.3333;14313.6667;6578.6667;960.4209
120;517.4119;19815.6667;12733.3333;7082.3333;1491.7938
121;520.0636;20409.3333;12936.6667;7472.6667;1909.9268
122;522.7142;20218.3333;12985.3333;7233.0000;1698.1523
123;525.3637;19157.6667;12658.0000;6499.6667;992.8029
124;528.0121;19477.6667;13241.3333;6236.3333;757.5440
125;530.6594;18899.0000;12845.0000;6054.0000;603.3783
126;533.3057;19688.6667;13834.0000;5854.6667;432.3014
127;535.9508;21054.6667;14965.0000;6089.6667;695.6458
128;538.5948;19786.6667;13767.0000;6019.6667;654.0772
129;541.2377;19376.3333;13485.3333;5891.0000;553.9282
130;543.8795;19525.6667;13751.0000;5774.6667;466.1978
131;546.5203;19926.6667;14040.6667;5886.0000;606.2179
132;549.1599;18532.3333;12697.6667;5834.6667;583.6542
133;551.7984;17304.6667;11697.6667;5607.0000;384.4031
134;554.4359;18858.0000;13253.6667;5604.3333;410.6886
135;557.0722;19187.6667;13587.3333;5600.3333;435.7185
136;559.7075;18534.3333;12982.0000;5552.3333;416.8254
137;562.3416;18705.3333;13062.6667;5642.6667;536.3406
138;564.9747;18485.6667;13062.6667;5423.0000;345.9471
139;567.6066;19281.3333;13958.3333;5323.0000;275.2720
140;570.2375;16982.3333;12059.3333;4923.0000;0.0000
141;572.8673;18534.0000;13414.3333;5119.6667;130.7821
142;575.4960;18641.0000;13458.3333;5182.6667;223.2944
143;578.1236;19702.0000;14417.3333;5284.6667;354.8425
144;580.7501;17699.6667;12580.6667;5119.0000;218.7763
145;583.3755;17312.3333;12351.6667;4960.6667;90.2054
146;585.9998;18914.6667;13886.3333;5028.3333;187.5670
147;588.6231;18750.3333;13616.0000;5134.3333;323.3134
148;591.2452;17544.6667;12493.6667;5051.0000;269.7647
149;593.8662;18102.6667;13111.3333;4991.3333;239.9176
150;596.4862;19029.3333;13965.0000;5064.3333;342.7700
151;599.1051;20514.6667;15524.3333;4990.3333;298.6503
152;601.7229;20936.0000;15845.0000;5091.0000;429.2215
153;604.3396;18605.6667;13576.6667;5029.0000;397.1476
154;606.9552;18487.6667;13356.0000;5131.6667;529.7661
155;609.5697;17620.6667;12573.6667;5047.0000;475.0779
156;612.1831;17257.6667;12306.0000;4951.6667;409.7534
157;614.7954;17233.0000;12384.6667;4848.3333;336.4786
158;617.4067;17916.0000;13044.6667;4871.3333;389.6178
159;620.0169;19451.0000;14581.3333;4869.6667;418.1879
160;622.6259;19689.0000;14713.0000;4976.0000;554.8521
161;625.2339;16472.6667;11677.3333;4795.3333;404.6019
162;627.8408;16848.6667;12230.3333;4618.3333;258.1374
163;630.4467;18162.0000;13380.6667;4781.3333;451.7265
164;633.0514;18008.0000;13219.0000;4789.0000;490.3601
165;635.6551;17461.3333;12799.6667;4661.6667;393.8018
166;638.2576;17856.0000;13071.3333;4784.6667;547.6641
167;640.8591;16628.3333;12036.3333;4592.0000;385.9299
168;643.4595;17709.0000;13184.0000;4525.0000;349.9491
169;646.0588;17827.0000;13209.6667;4617.3333;473.3676
170;648.6571;17488.6667;13073.6667;4415.0000;302.1594
171;651.2542;17456.3333;12998.6667;4457.6667;376.0072
172;653.8503;16072.6667;11838.6667;4234.0000;183.4940
173;656.4453;18422.3333;14093.0000;4329.3333;311.7875
174;659.0392;18653.6667;14181.3333;4472.3333;486.0027
175;661.6320;17541.3333;13158.0000;4383.3333;428.2733
176;664.2237;16078.0000;11937.3333;4140.6667;216.8430
177;666.8144;16463.6667;12387.6667;4076.0000;184.8519
178;669.4040;17019.6667;12851.0000;4168.6667;308.8115
179;671.9925;16649.6667;12494.3333;4155.3333;326.3726
180;674.5799;16637.0000;12516.6667;4120.3333;322.1563
181;677.1662;16851.0000;12840.3333;4010.6667;243.1522
182;679.7515;16779.0000;12749.3333;4029.6667;291.2905
183;682.3357;15413.0000;11647.6667;3765.3333;57.3039
184;684.9188;16699.3333;12802.0000;3897.3333;219.5201
185;687.5008;16030.6667;12140.0000;3890.6667;242.8870
186;690.0818;15351.0000;11738.6667;3612.3333;0.0000
187;692.6617;16645.0000;12941.0000;3704.0000;116.5609
188;695.2405;16314.3333;12598.3333;3716.0000;158.1195
189;697.8182;15946.6667;12351.0000;3595.6667;67.2921
190;700.3948;16582.0000;12968.0000;3614.0000;114.8380
191;702.9704;17341.3333;13669.3333;3672.0000;201.8793
192;705.5449;17330.6667;13751.6667;3579.0000;137.7437
193;708.1183;15975.6667;12491.0000;3484.6667;72.0885
194;710.6907;15814.0000;12418.6667;3395.3333;11.6155
195;713.2619;16827.3333;13333.6667;3493.6667;139.4400
196;715.8321;16857.6667;13397.6667;3460.0000;135.4555
197;718.4012;16222.3333;12843.0000;3379.3333;84.8820
198;720.9693;15221.3333;11958.6667;3262.6667;0.0000
199;723.5363;16015.6667;12775.3333;3240.3333;12.1305
200;726.1022;16916.0000;13652.6667;3263.3333;71.0852
201;728.6670;16259.3333;13056.6667;3202.6667;46.1835
202;731.2308;17047.0000;13904.0000;3143.0000;21.6637
203;733.7935;16797.0000;13713.6667;3083.3333;0.0000
204;736.3551;16069.6667;12946.0000;3123.6667;73.0114
205;738.9156;14863.0000;11872.0000;2991.0000;0.0000
206;741.4751;15076.6667;12088.6667;2988.0000;9.4644
